Country,AQ,CSEQ,CSTORE,REC,WQ,WA,LIVE,CROP,Dev,MEAN
Qatar,0.0155936,0,31.5623,15.6426,0.00000000000,0,0.889223,0,Rest of World,0.02712360000
Romania,0.0109615,114.81,119.093,16.9767,0.02712360000,77.935,13.7193,11.31888,Rest of World,0.00086685100
Russian Federation,0.00238338,-18.4171,195.408,13.4769,0.00086685100,6.86104,0.976527,0.567995,Rest of World,0.06715500000
Rwanda,0.00837092,74.8665,241.032,14.7628,0.06715500000,462.196,29.4501,17.90536,Least Developed,0.00462042000
Saudi Arabia,0.00180803,-18.8248,32.2867,16.6381,0.00000000000,0,0.408611,0.0868535,Rest of World,0.00193096000
Senegal,0.00294099,-135.222,59.5496,17.2165,0.00462042000,54.9148,10.9941,2.4642498,Least Developed,0.01782940000
Serbia,0.0120703,43.1991,86.2046,11.9313,0.00193096000,8.54791,14.2018,5.225801,Rest of World,0.01164980000
Sierra Leone,0.00861365,-197.35,178.441,13.7656,0.01782940000,68.3845,2.97706,1.012928,Least Developed,0.02546490000
Slovakia,0.0180885,146.928,105.948,17.793,0.01164980000,141.401,10.6813,5.501482,Most Developed,0.00572596000
Slovenia,0.0182335,187.361,106.65,19.6,0.02546490000,180.233,18.2309,0.506728,Most Developed,0.00112252000
Solomon Islands,0.00264224,352.65,263.322,13.9367,0.00572596000,14.1624,0.868834,0.01011203,Least Developed,0.00350247000
Somalia,0.00075609,-248.211,35.8578,12.894,0.00112252000,9.60354,6.27196,0.01785823,Least Developed,0.03096590000
South Africa,0.00975207,28.3695,68.6891,15.7961,0.00350247000,78.2866,7.37034,1.282635,Rest of World,0.00623874000
"Korea, Republic of",0.0372698,204.61,76.7143,13.8711,0.03096590000,460.052,30.761,1.06833,Most Developed,0.00481247000
South Sudan,0.00433306,-294.525,145.707,16.0815,0.00623874000,25.8019,8.43884,0.0941761,Least Developed,0.02978330000
Spain,0.0155484,12.9408,104.405,17.5574,0.00481247000,83.6411,17.4817,7.29387,Most Developed,0.00198575000
Sri Lanka,0.00946143,-210.863,121.526,17.8629,0.02978330000,333.255,11.6248,5.38396,Rest of World,0.00159213000
Sudan,0.00123044,-115.508,42.2536,13.7238,0.00198575000,16.1065,12.0486,0.8457459,Least Developed,0.00000000000
Suriname,0.00326546,241.298,322.201,13.0594,0.00159213000,3.56698,0.279206,0.01414127,Rest of World,0.00603582000
Svalbard,0.000406553,-18.0829,0.522432,10.9604,0.00000000000,0,16.4711,0,Rest of World,0.00324165000
Swaziland,0.0210405,460.33,149.637,14.1309,0.00603582000,44.2491,22.5425,0.5139695,Rest of World,0.04297490000
Sweden,0.00443191,41.2191,331.38,16.2365,0.00324165000,18.9199,2.4854,0.2829678,Most Developed,0.00379694000
Switzerland,0.0129191,112.317,127.764,14.5462,0.04297490000,400.054,29.965,0.444324,Most Developed,0.01411930000
Syria,0.00402855,-144.67,52.2267,13.4658,0.00379694000,136.437,9.85865,4.66242,Rest of World,0.00530104000
Tajikistan,0.00191322,-143.221,40.8126,14.1023,0.01411930000,71.3265,6.84584,0.2163349,Rest of World,0.01484790000
Tanzania,0.00504257,-7.78888,142.853,18.757,0.00530104000,50.0294,12.4945,0.3652562,Least Developed,0.00589103000
Thailand,0.0125451,-78.9746,118.893,14.2944,0.01484790000,121.532,10.0082,11.915098,Rest of World,0.01483640000
"Macedonia, FYR",0.00905875,-61.6033,87.4676,13.9792,0.00589103000,110.942,9.93248,1.210393,Rest of World,0.01601810000
Timor-Leste,0.0188837,-26.8352,113.748,13.5606,0.01483640000,64.371,9.20657,1.6167,Least Developed,0.00141478000
Togo,0.00638993,-345.316,153.528,14.9719,0.01601810000,152.838,6.66291,8.01371,Least Developed,0.00661675000
Tunisia,0.0018389,-76.5821,47.0102,14.1506,0.00141478000,132.45,5.49069,3.75907,Rest of World,0.00044659300
Turkey,0.00651453,-103.542,87.0356,12.9623,0.00661675000,113.498,10.7404,4.57694,Rest of World,0.01950480000
Turkmenistan,0.0018817,-197.526,27.6236,14.2342,0.00044659300,4.67194,4.09562,0.1729367,Rest of World,0.00372160000
Uganda,0.00757447,-29.5507,124.774,16.1657,0.01950480000,149.708,19.647,5.37094,Least Developed,0.06677400000
Ukraine,0.0100209,23.608,150.268,13.345,0.00372160000,70.29,9.00345,9.42408,Rest of World,0.00652900000
United Arab Emirates,0.0060113,-6.70123,22.0817,14.1298,0.06677400000,246.051,1.07232,0.033692687,Rest of World,0.00308728000
United Kingdom,0.0292619,176.893,224.818,13.9257,0.00652900000,251.222,37.936,2.879923,Most Developed,0.00256152000
United States,0.00809529,-61.7989,152.232,15.6005,0.00308728000,33.3658,6.90829,4.251215,Most Developed,0.00493400000
Uruguay,0.00744663,169.665,187.102,13.8909,0.00256152000,17.6328,47.2213,0.368971,Rest of World,0.00166906000
Uzbekistan,0.00307691,-159.072,33.4194,13.914,0.00493400000,47.7125,10.8719,0.834564,Rest of World,0.03302210000
Venezuela,0.0109205,31.794,195.765,17.4929,0.00166906000,24.39,12.044,0.0547586,Rest of World,0.00340417000
Viet nam,0.0103209,120.519,138.543,15.3309,0.03302210000,215.881,24.6989,7.489636,Least Developed,0.00381730000
Yemen,0.0016079,-145.891,36.4953,12.4976,0.00340417000,65.8591,2.9222,0.1371424,Least Developed,0.00343259000
Zambia,0.004639,251.768,187.683,17.8734,0.00381730000,19.0587,2.46885,0.0420277,Least Developed,
Zimbabwe,0.00461165,297.991,86.4333,17.0733,0.00343259000,35.9111,8.46419,0.2597054,Rest of World,
